Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,329.899994,335.799988,324.000000,333.350006,333.350006,78680452
2021-02-16,335.450012,337.899994,327.500000,329.200012,329.200012,65943843
2021-02-17,326.899994,334.250000,325.450012,330.149994,330.149994,52150941
2021-02-18,331.500000,331.750000,321.100006,323.850006,323.850006,49204247
2021-02-19,321.950012,321.950012,301.399994,311.850006,311.850006,80274683
2021-02-22,312.450012,313.899994,302.149994,304.500000,304.500000,57723298
2021-02-23,308.500000,328.899994,308.500000,324.000000,324.000000,133310157
2021-02-24,325.000000,330.000000,316.500000,321.649994,321.649994,50821757
2021-02-25,325.350006,334.700012,323.250000,333.149994,333.149994,64514912
2021-02-26,323.000000,332.950012,318.850006,322.950012,322.950012,91901339
2021-03-01,330.000000,331.850006,322.700012,328.299988,328.299988,61190868
2021-03-02,331.100006,347.200012,326.450012,345.750000,345.750000,127708761
2021-03-03,348.649994,357.000000,346.500000,348.500000,348.500000,92006451
2021-03-04,339.000000,345.399994,337.299988,339.200012,339.200012,59863169
2021-03-05,333.000000,337.850006,319.700012,325.149994,325.149994,86738909
2021-03-08,331.750000,331.750000,318.799988,321.250000,321.250000,81925952
2021-03-09,325.000000,328.350006,309.600006,315.200012,315.200012,74702208
2021-03-10,319.500000,324.450012,316.700012,321.450012,321.450012,58643853
2021-03-12,325.049988,326.500000,314.149994,317.549988,317.549988,48360842
2021-03-15,320.000000,320.399994,310.049988,318.549988,318.549988,45081385
2021-03-16,321.000000,321.899994,315.100006,319.950012,319.950012,39267404
2021-03-17,318.600006,320.000000,304.000000,305.799988,305.799988,47262481
2021-03-18,311.000000,316.600006,299.750000,307.000000,307.000000,73731921
2021-03-19,303.500000,311.000000,290.200012,308.950012,308.950012,109932681
2021-03-22,306.450012,307.500000,300.100006,303.049988,303.049988,56385019
2021-03-23,305.000000,312.250000,304.000000,307.399994,307.399994,60240483
2021-03-24,303.549988,305.000000,293.200012,294.450012,294.450012,61523819
2021-03-25,294.000000,294.000000,282.250000,285.549988,285.549988,84528317
2021-03-26,290.500000,301.399994,290.500000,296.399994,296.399994,80924011
2021-03-30,300.500000,301.299988,292.700012,297.049988,297.049988,45257233
2021-03-31,299.000000,307.500000,297.500000,301.799988,301.799988,58569012
2021-04-01,306.750000,309.850006,303.049988,307.750000,307.750000,44088352
2021-04-05,306.799988,311.700012,297.200012,305.049988,305.049988,66178755
2021-04-06,306.149994,313.799988,304.799988,307.750000,307.750000,63031783
2021-04-07,306.750000,310.649994,305.100006,307.799988,307.799988,39073986
2021-04-08,307.899994,319.799988,307.500000,313.950012,313.950012,62459774
2021-04-09,313.200012,325.000000,312.500000,318.200012,318.200012,75462572
2021-04-12,307.850006,307.850006,282.899994,286.549988,286.549988,105342538
2021-04-13,287.250000,304.549988,280.549988,302.850006,302.850006,116874853
2021-04-15,303.000000,307.549988,296.500000,303.500000,303.500000,75262749
2021-04-16,302.000000,315.000000,300.149994,310.000000,310.000000,75330709
2021-04-19,295.000000,304.500000,292.799988,301.399994,301.399994,65791784
2021-04-20,307.700012,308.149994,294.200012,298.049988,298.049988,56740291
2021-04-22,294.000000,302.500000,292.200012,294.549988,294.549988,61022978
2021-04-23,291.000000,300.000000,290.500000,294.000000,294.000000,58158986
2021-04-26,297.000000,299.000000,294.600006,295.399994,295.399994,30583139
2021-04-27,295.700012,302.500000,295.100006,301.500000,301.500000,35040532
2021-04-28,303.500000,309.500000,303.000000,305.899994,305.899994,44668126
2021-04-29,308.899994,310.000000,301.250000,301.899994,301.899994,36647292
2021-04-30,298.200012,301.299988,292.549988,293.850006,293.850006,36121668
2021-05-03,289.299988,294.750000,285.000000,293.000000,293.000000,35376618
2021-05-04,296.350006,299.750000,288.049988,289.450012,289.450012,38640006
2021-05-05,293.500000,293.899994,288.500000,291.500000,291.500000,29350536
2021-05-06,291.500000,302.000000,290.299988,301.250000,301.250000,45032502
2021-05-07,303.000000,305.950012,300.500000,302.750000,302.750000,41591323
2021-05-10,304.500000,315.700012,304.000000,314.850006,314.850006,53260388
2021-05-11,309.549988,320.750000,308.100006,315.549988,315.549988,58472304
2021-05-12,318.250000,334.750000,316.250000,326.000000,326.000000,111584920
2021-05-14,329.350006,329.500000,310.000000,312.250000,312.250000,81305325
