Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,592.099976,603.000000,590.000000,593.700012,593.700012,17641523
2021-02-16,595.000000,601.599976,593.000000,593.950012,593.950012,14787224
2021-02-17,596.950012,598.799988,590.049988,593.849976,593.849976,16133750
2021-02-18,597.000000,598.000000,585.200012,589.049988,589.049988,21784559
2021-02-19,590.000000,596.000000,575.500000,581.349976,581.349976,19106404
2021-02-22,582.000000,584.900024,568.000000,570.299988,570.299988,19854892
2021-02-23,575.000000,577.000000,564.000000,565.549988,565.549988,23326447
2021-02-24,568.099976,574.099976,565.200012,572.950012,572.950012,8725136
2021-02-25,579.900024,584.450012,577.049988,579.150024,579.150024,15931134
2021-02-26,574.500000,585.950012,551.750000,556.299988,556.299988,194887984
2021-03-01,558.000000,559.099976,521.000000,532.200012,532.200012,54075848
2021-03-02,540.500000,544.000000,528.849976,541.200012,541.200012,30058411
2021-03-03,548.750000,550.750000,540.000000,546.299988,546.299988,24214390
2021-03-04,540.000000,546.000000,538.000000,539.599976,539.599976,17352483
2021-03-05,535.000000,538.500000,524.400024,532.799988,532.799988,16351700
2021-03-08,531.000000,535.450012,524.750000,525.700012,525.700012,15011518
2021-03-09,530.099976,532.000000,514.299988,521.750000,521.750000,19809833
2021-03-10,520.200012,530.500000,516.349976,525.849976,525.849976,18663334
2021-03-12,530.549988,532.750000,521.549988,524.200012,524.200012,11410264
2021-03-15,527.799988,527.799988,516.400024,522.849976,522.849976,10675512
2021-03-16,524.000000,533.750000,524.000000,529.299988,529.299988,13007824
2021-03-17,528.799988,531.000000,519.000000,522.900024,522.900024,8326430
2021-03-18,529.849976,532.200012,515.349976,527.200012,527.200012,12235615
2021-03-19,528.000000,534.750000,525.500000,529.950012,529.950012,48683525
2021-03-22,533.049988,534.000000,523.000000,528.000000,528.000000,13331409
2021-03-23,529.700012,532.450012,522.150024,529.250000,529.250000,14958494
2021-03-24,528.000000,533.450012,521.500000,523.650024,523.650024,10602439
2021-03-25,523.400024,523.650024,499.549988,507.750000,507.750000,17248482
2021-03-26,512.099976,524.900024,510.600006,522.500000,522.500000,10943035
2021-03-30,527.799988,527.900024,516.250000,521.500000,521.500000,10494098
2021-03-31,522.349976,525.900024,516.250000,517.299988,517.299988,7570387
2021-04-01,519.950012,523.900024,514.549988,520.799988,520.799988,6980458
2021-04-05,520.799988,529.000000,514.599976,528.250000,528.250000,9203847
2021-04-06,528.500000,537.849976,524.549988,532.200012,532.200012,12873443
2021-04-07,537.000000,546.900024,535.250000,541.599976,541.599976,20997280
2021-04-08,546.799988,548.549988,540.500000,543.000000,543.000000,11157958
2021-04-09,539.500000,549.750000,536.500000,545.250000,545.250000,11426998
2021-04-12,537.549988,538.849976,518.500000,522.450012,522.450012,9687846
2021-04-13,526.400024,540.000000,523.099976,536.150024,536.150024,6535007
2021-04-15,540.000000,546.150024,530.250000,539.349976,539.349976,9805711
2021-04-16,540.049988,544.150024,538.000000,540.750000,540.750000,6157781
2021-04-19,532.250000,535.000000,523.250000,526.450012,526.450012,7232945
2021-04-20,529.000000,537.000000,525.900024,530.200012,530.200012,7233304
2021-04-22,530.000000,533.400024,526.049988,530.849976,530.849976,6552131
2021-04-23,529.000000,532.450012,519.099976,522.599976,522.599976,6992388
2021-04-26,522.750000,528.500000,522.750000,527.549988,527.549988,5819893
2021-04-27,527.450012,538.549988,526.250000,534.299988,534.299988,9693047
2021-04-28,535.950012,548.000000,535.599976,544.299988,544.299988,11970652
2021-04-29,549.700012,550.000000,539.099976,540.849976,540.849976,8683857
2021-04-30,533.500000,547.000000,533.500000,536.750000,536.750000,8178192
2021-05-03,530.000000,562.500000,529.049988,558.849976,558.849976,14288088
2021-05-04,565.950012,565.950012,546.700012,552.450012,552.450012,13934607
2021-05-05,556.900024,564.950012,554.000000,559.950012,559.950012,11872729
2021-05-06,559.950012,564.400024,552.599976,558.750000,558.750000,9000753
2021-05-07,561.200012,572.900024,556.900024,568.500000,568.500000,12656867
2021-05-10,572.000000,577.000000,569.099976,572.549988,572.549988,8211446
2021-05-11,565.500000,574.849976,564.049988,568.400024,568.400024,7885422
2021-05-12,568.000000,569.150024,558.200012,561.750000,561.750000,6689476
2021-05-14,564.000000,569.349976,556.150024,560.400024,560.400024,7555855
